id: 4, m: 1.0000, b: 9.7400
id: 5, m: -1.0000, b: 1.8500
id: 24, m: 1.0000, b: 9.8300
id: 30, m: 1.0000, b: 0.8100
id: 30, m: 1.0000, b: -7.8300
id: 46, m: 1.0000, b: 0.4700
id: 47, m: 1.0000, b: -9.9800
id: 72, m: -1.0000, b: 1.6600
id: 75, m: -1.0000, b: -6.1100
id: 81, m: 1.0000, b: 9.7200
id: 89, m: 1.0000, b: -3.8500
id: 93, m: 1.0000, b: -7.2200
id: 93, m: 1.0000, b: 6.4400
id: 108, m: 1.0000, b: 8.7100
id: 119, m: 1.0000, b: 5.6900
id: 159, m: 1.0000, b: 9.5600
id: 169, m: 1.0000, b: 9.2000
id: 190, m: 1.0000, b: -2.9300
id: 201, m: 1.0000, b: -2.8700
id: 202, m: 1.0000, b: 4.3400
id: 218, m: 1.0000, b: -4.0800
id: 232, m: -1.0000, b: -3.1500
id: 232, m: 1.0000, b: 2.7900
id: 239, m: 1.0000, b: 3.7800
id: 245, m: -1.0000, b: -2.7200
id: 245, m: 1.0000, b: -2.4600
id: 276, m: 1.0000, b: 1.2300
id: 277, m: 1.0000, b: -6.8000
id: 278, m: 1.0000, b: 8.6200
id: 337, m: 1.0000, b: 2.2300
id: 343, m: 1.0000, b: -8.9600
id: 366, m: 1.0000, b: 7.0400
id: 368, m: 1.0000, b: -4.1100
id: 387, m: 1.0000, b: -7.3100
id: 411, m: 1.0000, b: 4.6900
id: 418, m: -1.0000, b: 8.1300
id: 418, m: 1.0000, b: -4.0400
id: 428, m: 1.0000, b: 0.4100
id: 430, m: 1.0000, b: -7.8100
id: 444, m: 1.0000, b: -5.5600
id: 448, m: -1.0000, b: -1.4800
id: 457, m: 1.0000, b: 0.4400
id: 458, m: 1.0000, b: -1.3500
id: 470, m: 1.0000, b: -2.1200
id: 489, m: -1.0000, b: 4.0200
id: 494, m: 1.0000, b: -8.1500
id: 497, m: 1.0000, b: 7.6700
id: 502, m: 1.0000, b: 6.9300
id: 502, m: 1.0000, b: 9.5400
id: 516, m: 1.0000, b: 2.4400
id: 521, m: 1.0000, b: -6.1000
id: 533, m: 1.0000, b: 8.0100
id: 535, m: 1.0000, b: -3.4200
id: 540, m: -1.0000, b: -0.5700
id: 548, m: 1.0000, b: -0.3300
id: 558, m: 1.0000, b: 7.5800
id: 560, m: 1.0000, b: -8.8700
id: 562, m: 1.0000, b: 2.3200
id: 564, m: -1.0000, b: 8.1200
id: 574, m: 1.0000, b: -9.2200
id: 577, m: 1.0000, b: -4.8700
id: 595, m: 1.0000, b: 9.0600
id: 603, m: 1.0000, b: -1.7500
id: 603, m: 1.0000, b: 1.0000
id: 612, m: 1.0000, b: -6.5000
id: 614, m: 1.0000, b: -9.2200
id: 626, m: 1.0000, b: -4.6600
id: 648, m: 1.0000, b: 2.4800
id: 672, m: 1.0000, b: 3.8900
id: 684, m: 1.0000, b: -1.8500
id: 692, m: 1.0000, b: 0.2900
id: 702, m: 1.0000, b: -1.5100
id: 710, m: -1.0000, b: 6.8800
id: 721, m: 1.0000, b: 5.2400
id: 737, m: 1.0000, b: -9.2500
id: 751, m: 1.0000, b: 7.7800
id: 758, m: 1.0000, b: 6.9600
id: 760, m: 1.0000, b: -5.3400
id: 764, m: -1.0000, b: -8.6700
id: 773, m: -1.0000, b: 6.9000
id: 773, m: -1.0000, b: 7.1000
id: 775, m: 1.0000, b: 2.6200
id: 789, m: -1.0000, b: -0.3000
id: 822, m: 1.0000, b: 3.2900
id: 824, m: 1.0000, b: -1.8500
id: 843, m: -1.0000, b: 7.0600
id: 876, m: -1.0000, b: 1.1300
id: 880, m: 1.0000, b: 2.1800
id: 933, m: -1.0000, b: -5.5300
id: 939, m: 1.0000, b: -3.1800
id: 953, m: -1.0000, b: 8.4700
